"path","status","category","evidence_source","recovery_confidence","notes"
"app/Filament/Resources/ThemeBuilder/Pages/Pages/CreateThemePage.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=289 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Pages/Pages/EditThemePage.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=667 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Pages/Pages/ListThemePages.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=445 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Pages/Schemas/ThemePageForm.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=3249 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Pages/Tables/ThemePagesTable.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=2150 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Pages/ThemePageResource.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=2667 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Support/BuilderDataField.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=5585 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Templates/Pages/CreateThemeTemplate.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=309 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Templates/Pages/EditThemeTemplate.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=462 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Templates/Pages/ListThemeTemplates.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=465 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Templates/Schemas/ThemeTemplateForm.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=2978 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Templates/Tables/ThemeTemplatesTable.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=1900 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Templates/ThemeTemplateResource.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=2780 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Themes/Pages/CreateTheme.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=279 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Themes/Pages/EditTheme.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=432 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Themes/Pages/ListThemes.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=435 bytes; existing scoped file"
"app/Filament/Resources/ThemeBuilder/Themes/Schemas/ThemeForm.php","PRESENT_AND_TRACKED","php_source","git index; filesystem","certain","size=1793 bytes; existing scoped file"
